Number,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6,Condition7,Condition8,Condition9,Condition10,Condition11,Condition12,Condition13,Condition14,Condition15
1,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
2,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
3,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
4,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
5,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
6,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
7,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
8,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
9,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
10,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
11,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
12,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
13,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
14,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
15,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
16,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
17,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
18,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
19,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
20,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
21,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
22,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
23,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
24,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
25,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
