Number,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6,Condition7,Condition8,Condition9,Condition10,Condition11,Condition12,Condition13,Condition14,Condition15
1,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
2,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
3,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
4,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
5,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
6,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
7,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
8,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
9,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
10,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
11,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
12,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
13,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
14,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
15,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
16,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
17,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
18,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
19,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
20,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
21,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
22,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
23,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
24,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
25,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
