Number,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6,Condition7,Condition8,Condition9,Condition10,Condition11,Condition12,Condition13,Condition14,Condition15
1,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
2,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
3,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
4,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
5,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
6,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
7,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
8,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
9,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
10,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
11,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
12,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
13,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
14,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
15,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
16,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
17,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
18,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
19,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
20,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
21,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
22,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
23,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
24,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
25,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
