Number,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6,Condition7,Condition8,Condition9,Condition10,Condition11,Condition12,Condition13,Condition14,Condition15
1,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
2,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
3,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
4,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
5,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
6,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
7,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
8,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
9,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
10,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
11,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
12,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
13,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
14,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
15,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
16,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
17,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
18,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
19,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
20,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
21,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
22,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
23,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
24,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
25,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
