Number,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6,Condition7,Condition8,Condition9,Condition10,Condition11,Condition12,Condition13,Condition14,Condition15
1,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
2,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
3,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
4,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
5,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
6,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
7,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
8,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
9,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
10,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
11,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
12,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
13,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
14,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
15,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
16,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF
17,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
18,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
19,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
20,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
21,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
22,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
23,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
24,OFF,OFF,OFF,OFF,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
25,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,OFF,OFF,OFF,OFF
