Number,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6,Condition7,Condition8,Condition9,Condition10,Condition11
1,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
2,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
3,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF
4,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
5,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF
6,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
7,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF
8,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
9,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
10,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
11,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF
12,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
13,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF
14,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
15,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF
16,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
17,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
18,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
19,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF
20,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
21,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
22,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
23,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
24,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF
25,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
