Number,Condition1,Condition2,Condition3,Condition4,Condition5,Condition6,Condition7,Condition8,Condition9,Condition10,Condition11
1,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
2,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
3,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
4,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
5,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
6,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
7,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
8,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
9,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
10,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
11,OFF,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ
12,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF
13,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
14,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF
15,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
16,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
17,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
18,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
19,5HZ,5HZ,5HZ,5HZ,5HZ,1HZ,1HZ,1HZ,1HZ,1HZ,OFF
20,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF
21,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
22,1HZ,1HZ,1HZ,1HZ,1HZ,OFF,5HZ,5HZ,5HZ,5HZ,5HZ
23,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ,OFF
24,OFF,1HZ,1HZ,1HZ,1HZ,1HZ,5HZ,5HZ,5HZ,5HZ,5HZ
25,5HZ,5HZ,5HZ,5HZ,5HZ,OFF,1HZ,1HZ,1HZ,1HZ,1HZ
